language,license,rightsHolder,accessRights,datasetID,institutionCode,datasetName,taxonID,scientificName,kingdom,phylum,class,order,family,genus,taxonRank,vernacularName,nomenclaturalCode,taxonomicStatus
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_124,Luscinia megarhynchos,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Luscinia,species,Nachtegaal,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_125,Luscinia svecica,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Luscinia,species,Blauwborst,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_126,Merops apiaster,Animalia,Chordata,Aves,Coraciiformes,Meropidae,Merops,species,Bijeneter,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_127,Milvus migrans,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,species,Zwarte wouw,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_128,Milvus milvus,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,species,Rode wouw,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_129,Motacilla alba,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,species,Witte kwikstaart,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_13,Alopochen aegyptiacus,Animalia,Chordata,Aves,Anseriformes,Anatidae,Alopochen,species,Nijlgans,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_130,Motacilla cinerea,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,species,Grote gele kwikstaart,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_131,Motacilla flava,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,species,Gele kwikstaart,ICZN,accepted
en,http://creativecommons.org/publicdomain/zero/1.0/,INBO,https://www.inbo.be/en/norms-data-use,"",INBO,"Validated Red Lists of Flanders, Belgium",INBO_RL_BIR_2004_VAL_132,Muscicapa striata,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Muscicapa,species,Grauwe vliegenvanger,ICZN,accepted
